ms,ms_name,country,state_or_province,loc_wkt,group_id
https://minmod.isi.edu/resource/mineral_site4ed4768592b2bff0223481e223b8af427b818d2c8591d7c5e00d77f0a52947b5,Bates Farm Prospect,United States,Tennessee,POINT (-87.68312 35.7334),3042.0
https://minmod.isi.edu/resource/mineral_site13fe2a052334dec278d5aefc0610572f15d997fbbc2f47e8ac49e52a6d31dfa6,Nchanga Division,Zambia,Copperbelt,POINT (27.85 -12.5),4088.0
https://minmod.isi.edu/resource/mineral_site50d825636b36b7ce302842708364b648837a68e8b7e556f24a1a51b58db4af05,Americano Do Brasil,Brazil,Goias,POINT (-50.07493 -16.10348),3148.0
https://minmod.isi.edu/resource/mineral_site91c2840380f8be1921d9dc2f14b0ad5e0af90cc1bb6b38102b9a5fe96c07ce8b,Unnamed (near Mt. Barnard),United States,Alaska,POINT (-136.90213 59.08972),3273.0
https://minmod.isi.edu/resource/mineral_site6cc6a5e4e826273520a4684d2ea55d54ee04798bc12e7631078b77de05f24878,Prindle Property,United States,Oregon,POINT (-118.63994 44.58263),3998.0
https://minmod.isi.edu/resource/mineral_site74e53f84afaba137a5e6814145ba83445c1f725de898f4f235fd64d7c8e565df,Emo Prospect,Canada,Ontario,POINT (-93.94609 48.655),3237.0
https://minmod.isi.edu/resource/mineral_site776becf1b04e53f9a80f7f3eb2d6a01dc8a376786a1345744913afb0913e5091,Red Mountain,United States,Alaska,POINT (-151.47754 59.37447),3990.0
https://minmod.isi.edu/resource/mineral_sitedaff12d9bace39fb7d900f4a0bdc4475a7a422b1b9a46bbfb12da66a6c936dec,Laguna Honda Sur,Bolivia,Potosi,POINT (-67.44948 -22.56698),3231.0
https://minmod.isi.edu/resource/mineral_site7daf05fbfd8f5e816578eefc8e332b7e3dec92b21466bf4d25bdcd0d14fb9b0e,Franklin Mine,United States,New Jersey,POINT (-74.58736 41.11888),3230.0
https://minmod.isi.edu/resource/mineral_siteb76d58c24760418846e5870c73c1364d0de75d758301287cfcbff55a4d584e55,Juniper Vein,United States,Oregon,POINT (-118.68075 44.54235),3227.0
https://minmod.isi.edu/resource/mineral_site26b440833636aab73914a93b7099bc6e51bf1bc090ed3276417e5f1d6e352b41,Oro-Y-Plate,United States,Montana,POINT (-110.49801 45.58241),3995.0
https://minmod.isi.edu/resource/mineral_site2703455395d828e6398f569a6a4b3d87b3cc8132bfeb8df7628a24bf0c13348f,Marsh Fork,United States,Alaska,POINT (-146.03873 69.02153),3222.0
https://minmod.isi.edu/resource/mineral_site21ef080adc82fa0ea74c5907d5d6d9ba9205673b609955c1d92c4bca636ddaa3,Butte Creek Ultramafic,United States,Alaska,POINT (-147.76336 63.02352),3219.0
